Song,Artist,Lyrics
It's Beginning To Look A Lot Like Christmas,['Michael Buble'],"
It's beginning to look a lot like Christmas
Everywhere you go
Take a look at the five and ten
It's glistening once again
With candy canes and silver lanes aglow
It's beginning to look a lot like Christmas
Toys in every store
But the prettiest sight to see is the holly that will be
On your own front door

A pair of hop-a-long boots and a pistol that shoots
Is the wish of Barney and Ben
Dolls that will talk and will go for a walk
Is the hope of Janice and Jen
And Mom and Dad can hardly wait for school to start again
It's beginning to look a lot like Christmas
Everywhere you go
There's a tree in the Grand Hotel, one in the park as well
It's the sturdy kind that doesn't mind the snow

It's beginning to look a lot like Christmas
Soon, the bells will start
And the thing that will make them ring is the carol that you sing
Right within your heart
It's beginning to look a lot like Christmas
Toys in every store
But the prettiest sight to see is the holly that will be
On your own front door

Sure it's Christmas once more"
Let It Snow! Let It Snow! Let It Snow!,['Dean Martin'],"
Oh, the weather outside is frightful
But the fire is so delightful
And since we've no place to go
Let it snow, let it snow, let it snow

Man, it doesn't show signs of stopping
And I've brought me some corn for popping
The lights are turned way down low
Let it snow, let it snow

When we finally kiss goodnight
How I'll hate going out in the storm
But if you really hold me tight
All the way home I'll be warm

And the fire is slowly dying
And, my dear, we're still goodbyeing
But as long as you love me so
Let it snow, let it snow, and snow

When we finally kiss goodnight
How I'll hate going out in the storm
But if you really grab me tight
All the way home I'll be warm

Oh, the fire is slowly dying
And, my dear, we're still goodbyeing
But as long as you love me so
Let it snow, let it snow, let it snow"
Luther,"['Kendrick Lamar', 'SZA']","
If you miss me
And you can't find
Me nowhere
I done seen it all, oh my God
Uh
I done seen it all, oh my God, I swear
Uh, uh

Nothing new under the sun, nobody fucking with son
I got a couple of sons, a couple of guns
A couple of niggas that bust up the party and fuck up the fun
She digging me and I’m cuffing her friend
She ig'-ing you while we fucking for fun
I got her suckin' her thumb, that’s my lil' baby
She call me daddy like grandmama baby
If this Sunday dinner, my hand on her gravy
I been on the craziest wave, if I'm on the stage
An M is my minimum wage
This ain't no kennel, behave
Niggas is with all that barking, we send 'em a stray
So in a way we the dogcatchers
How many bullets your dawg catchin'?
Sawed-off, raw dog fashion
Hauled off, hope God catch him, damn

I woke up for some money, ayy, lil' bitch
Too many opps in here, tell me who you with, ayy

Potato over my gun
I move in silence 'cause niggas be clocking my funds
When they should keep eye on they bitch ’cause baby girl coming with son
Niggas be judging my moves, but please tell me, what have you done?
My cousin might air out the party for fun
Pistol grips get to squeezing
Wish a nigga would like Liam Neeson
I don’t even need a reason, loyalty over treason
Bitch nigga, come and see me
Put some respect on my name
What side of my city I claim
I try to stay in my lane
Took my advance and put a Caprice on them thangs
I'm Beatties Ford ’til the wheels fall
Know some niggas probably pissed off
Who would thought I made it this far?
Gold Mouf, bitch, fuck 'em all

I woke up for some money, ayy, lil' bitch
Too many opps in here, tell me who you with

I just put diamonds on all of my teeth, now they probably think I ain't intelligent
In the homicide unit interrogation, asking questions, you know I ain’t tell 'em shit
Bitches call me a jock, all-American
I'm at the top of my class with my lettermen
I remember back in college, bitches knocking on my dorm door
I ain't never let 'em in
Now you know that that's cap, know I hit a few
Ain't no job, I'm selling gas like I'm Jiffy Lube
I had a freak, used to fuck while her boyfriend in class
I hit her from the back from like 10 to 2
No back and forth with these rappers
They mention me, dissin' me
No talkin' back, I won't mention you
Watch, when I come put that iron on your ass and I dip
They gon' want me to snitch in my interviews
I'm on fire, bitch, I'm lit, but I'm really cool
Don't acknowledge the shrimps when they ridicule
They don't come out after dark, bitch, I swim with the sharks
You ain't got enough heart, get a bigger pool
Wanna fight but he bigger, I ain't really trippin'
Reach under my shirt, grab a bigger tool
I got a 
Glock with a dick
, let's get physical
They gon' be hollerin' out, ""
Rip
,"" and they missin' you
They got me started, I might as well finish it 
I'm from Charlotte, you know how these niggas do
Baby

I woke up for some money, ayy, lil' bitch
Too many opps in here, tell me who you with"
It's The Most Wonderful Time Of The Year,['Andy Williams'],"It's the most wonderful time of the year
With the kids jingle belling
And everyone telling you ""be of good cheer""
It's the most wonderful time of the year
It's the hap-happiest season of all
With those holiday greetings
And 
gay happy meetings when friends come to call
It's the hap-happiest season of all
There'll be parties for hosting
Marshmallows for toasting
And caroling out in the snow
There'll be scary ghost stories
And tales of the glories
Of Christmases long, long ago
It's the most wonderful time of the year
There'll be much mistletoeing
And hearts will be glowing when loved ones are near
It's the most wonderful time of the year
There'll be parties for hosting
Marshmallows for toasting
And caroling out in the snow
There'll be scary ghost stories
And tales of the glories
Of Christmases long, long ago
It's the most wonderful time of the year
There'll be much mistletoeing
And hearts will be glowing when loved ones are near
It's the most wonderful time
It's the most wonderful time
It's the most wonderful time
It's the most wonderful time of the year"
Feliz Navidad,['Jose Feliciano'],"

Feliz Navidad
Feliz Navidad
Feliz Navidad
Próspero año y felicidad
Feliz Navidad
Feliz Navidad
Feliz Navidad
Próspero año y felicidad

I wanna wish you a merry Christmas
I wanna wish you a merry Christmas
I wanna wish you a merry Christmas
From the bottom of my heart
I wanna wish you a merry Christmas
I wanna wish you a merry Christmas
I wanna wish you a merry Christmas
From the bottom of my heart

Feliz Navidad
Feliz Navidad
Feliz Navidad
Próspero año y felicidad 
Feliz Navidad
Feliz Navidad
Feliz Navidad
Próspero año y felicidad

I wanna wish you a merry Christmas
I wanna wish you a merry Christmas
I wanna wish you a merry Christmas
From the bottom of my heart
I wanna wish you a merry Christmas
I wanna wish you a merry Christmas
I wanna wish you a merry Christmas
From the bottom of my heart

Feliz Navidad
Feliz Navidad
Feliz Navidad
Próspero año y felicidad
Feliz Navidad
Feliz Navidad
Feliz Navidad
Próspero año y felicidad

I wanna wish you a merry Christmas
I wanna wish you a merry Christmas
I wanna wish you a merry Christmas
From the bottom of my heart
I wanna wish you a merry Christmas
I wanna wish you a merry Christmas
I wanna wish you a merry Christmas
From the bottom of my heart

Feliz Navidad
Feliz Navidad
Feliz Navidad
Próspero año y felicidad"
Snowman,['Sia'],"
Don't cry, snowman, not in front of me
Who'll catch your tears if you can't catch me, darling?
If you can't catch me, darling
Don't cr
y
, snowman, don't leave me this way
A puddle of water can't hold me close, baby
Can't hold me close, baby

I want you to know that I'm never leaving
'Cause I'm Mrs. Snow, 'til death we'll be freezing
Yeah, you are my home, my home for all seasons
So come on, let's go
Let's go below zero and hide from the sun
I'll love you forever where we'll have some fun
Yes, let's hit the North Pole and live happily
Please don't cry no tears now, it's Christmas, baby

My snowman and me, 
eh
My snowman and me
Baby

Don't cry, snowman, don't you fear the sun
Who'll carry me without legs to run, honey?
Without legs to run, honey
Don't cry, snowman, don't you shed a tear
Who'll hear my secrets if you don't have ears, baby?
If you don't have ears, baby

I want you to know that I'm never leaving
'Cause I'm Mrs. Snow, 'til death we'll be freezing
Yeah, you are my home, my home for all seasons
So come on, let's go
Let's go below zero and hide from the sun
I'll love you forever where we'll have some fun
Yes, let's hit the North Pole and live happily
Please don't cry no tears now, it's Christmas, baby

My snowman and me, eh
My snowman and me
Baby"
Sleigh Ride,['The Ronettes'],"Just hear those sleigh bells jingling
Ring-ting-tingling too
Come on, it's lovely weather
For a sleigh ride together with you
Outside the snow is falling
And friends are calling, ""Yoo hoo""
Come on, it's lovely weather
For a sleigh ride together with you
Giddy yap, giddy yap, giddy yap
Let's go, let's look at the show
We're riding in a wonderland of snow
Giddy yap, giddy yap, giddy yap
It's grand, just holding your hand
We're riding along with a song
Of a wintry fairy land
Our cheeks are nice and rosy
And comfy cozy are we
We're snuggled up together
Like two birds of a feather would be
Let's take that road before us
And sing a chorus or two
Come on, it's lovely weather
For a sleigh ride together with you
There's a birthday party
At the home of Farmer Gray
It'll be the perfect ending of a perfect day
We'll be singing the songs
We love to sing without a single stop
At the fireplace while we watch
The chestnuts pop; Pop! Pop! Pop!
There's a happy feeling
Nothing in the world can buy
When they pass around the chocolate
And the pumpkin pie
It'll nearly be like a picture print
By Currier and Ives
These wonderful things are the things
We remember all through our lives!
Just hear those sleigh bells jingling
Ring-ting-tingling too
Come on, it's lovely weather
For a sleigh ride together with you
Outside the snow is falling
And friends are calling, ""Yoo hoo""
Come on, it's lovely weather
For a sleigh ride together with you
Giddy yap, giddy yap, giddy yap
Let's go, let's look at the show
We're riding in a wonderland of snow
Giddy yap, giddy yap, giddy yap
It's grand, just holding your hand
We're riding along with a song
Of a wintry fairy land
Our cheeks are nice and rosy
And comfy cozy are we
We're snuggled up together
Like two birds of a feather would be
Let's take that road before us
And sing a chorus or two
Come on, it's lovely weather
For a sleigh ride together with you
Giddy yap, giddy yap, giddy yap
Giddy yap, giddy yap, giddy yap
Whoa!"
Espresso,['Sabrina Carpenter'],"
Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know
That's that me espresso
Move it up, down, left, right, oh
Switch it up like Nintendo
Say you can't sleep, baby, I know
That's that me espresso

I can't relate to desperation
My give-a-fucks are on vacation
And I got this one boy and he won't stop calling
When they act this way, I know I got 'em

 Too bad your ex don't do it for ya
 Walked in and dream-came-trued it for ya
 Soft skin and I perfumed it for ya
 I know I Mountain Dew it for ya
 That morning coffee, brewed it for ya
 One touch and I brand-newed it for ya 

And now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know
That's that me espresso
Move it up, down, left, right, oh
Switch it up like Nintendo
Say you can't sleep, baby, I know
That's that me espresso

Holy shit
Is it that sweet? I guess so 

I'm working late 'cause I'm a singer
Oh, he looks so cute wrapped 'round my finger
My twisted humor make him laugh so often
My honeybee, come and get this pollen

 Too bad your ex don't do it for ya
 Walked in and dream-came-trued it for ya
 Soft skin and I perfumed it for ya 
 I know I Mountain Dew it for ya
 That morning coffee, brewed it for ya
 One touch and I brand-newed it for ya 

Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know
That's that me espresso
Move it up, down, left, right, oh
Switch it up like Nintendo
Say you can't sleep, baby, I know
That's that me espresso 
Thinkin' 'bout me every night, oh
Is it that sweet? I guess so 
Say you can't sleep, baby, I know
That's that me espresso 
Move it up, down, left, right, oh 
Switch it up like Nintendo 
Say you can't sleep, baby, I know
That's that me espresso

Is it that sweet? I guess so
Mm, that's that me espresso"
Beautiful Things,['Benson Boone'],"
For a while there, it was rough
But lately, I've been doin' better
Than the last four cold Decembers I recall
And I see my family every month
I found a girl my parents love
She'll come and stay the night, and I think I might have it all
And I thank God every day
For the girl He sent my way
But I know the things He gives me, He can take away
And I hold you every night
And that's a feeling I wanna get used to
But there's no man as terrified as the man who stands to lose you

Oh, I hope I don't losе you
Mm, please stay
I want you, I need you, oh God
Don't take
Thеse beautiful things that I've got

Please stay
I want you, I need you, oh, God
Don't take
These beautiful things that I've got

Oh, ooh
Please don't take

I found my mind, I'm feelin' sane
It's been a while, but I'm finding my faith
If everything's good and it's great, why do I sit and wait 'til it's gone?
Oh, I'll tell ya, I know I've got enough
I've got peace and I've got love
But I'm up at night thinkin' I just might lose it all

Please stay
I want you, I need you, oh God
Don't take
These beautiful things that I've got

Oh, ooh

Please stay
I want you, I need you, oh God
I need
These beautiful things that I've got"
A Holly Jolly Christmas,['Burl Ives'],"
Ding-dong-ding
Ding-dong-ding

Have a holly jolly Christmas 

It's the best time of the year 

I don't know if there'll be snow
But have a cup of cheer
Have a holly jolly Christmas 

And when you walk down the street 

Say hello to friends you know
And everyone you meet

Oh ho
, the mistletoe
Hung where you can see
Somebody waits for you 

Kiss her once for me

Have a holly jolly Christmas 

And in case you didn't hear 

Oh, by golly, have a holly jolly Christmas this year

Have a holly jolly Christmas
It's the best time of the year

Have a holly jolly Christmas
And when you walk down the street
Say hello to friends you know
And everyone you meet

Oh ho
, the mistletoe
Hung where you can see
Somebody waits for you 

Kiss her once for me

Have a holly jolly Christmas 

And in case you didn't hear 

Oh, by golly, have a holly jolly Christmas this year

Ding-dong-ding-dong
Ding-dong-ding-dong
Ding-dong-ding"
TV Off,"['Kendrick Lamar', 'Lefty Gunplay']","

All I ever wanted was a black Grand National
Fuck being rational, give 'em what they ask for

It's not enough 
Few solid niggas left, but it's not enough
Few bitches that'll really step, but it's not enough
Say you bigger than myself, but it's not enough 
I get on they ass, yeah, somebody gotta do it
I'll make them niggas mad, yeah, somebody gotta do it
I'll take the G pass, shit, watch a nigga do it
Huh, we survived outside, all from the music, nigga, what?

They like, ""What he on?""
It's the alpha and omega, bitch, welcome home
This is not a song
This a revеlation, how to get a nigga gone
You need you a man, baby, I don't understand, baby
Pay your bill and makе you feel protected like I can, baby
Teach you somethin' if you need correction, that's the plan, baby
Don't put your life in these weird niggas' hands, baby 

It's not enough 
Few solid niggas left, but it's not enough
Few bitches that'll really step, but it's not enough
Say you bigger than myself, but it's not enough 
I get on they ass, yeah, somebody gotta do it
I'll make them niggas mad, yeah, somebody gotta do it
I'll take the G pass, shit, watch a nigga do it
Huh, we survived outside, all from the music, nigga, what?

Hey, turn his TV off
Ain't with my type activities? Then don't you get involved
Hey, what, huh, how many should I send? Send 'em all
Take a risk or take a trip, you know I'm trippin' for my dog
Who you with? Couple sergeants and lieutenants for the get back
This revolution been televised, I fell through with the knick-knacks
Hey, young nigga, get your chili up, yeah, I meant that
Hey, black out if they act out, yeah, I did that
Hey, what's up, though?
I hate a bitch that's hatin' on a bitch and they both hoes
I hate a nigga hatin' on them niggas and they both broke
If you ain't coming for no chili, what you come for?
Nigga feel like he entitled 'cause he knew me since a kid
Bitch, I cut my granny off if she don't see it how I see it, hm
Got a big mouth but he lack big ideas
Send him to the moon, that's just how I feel, yellin'

It's not enough 
Few solid niggas left, but it's not enough
Few bitches that'll really step, but it's not enough
Say you bigger than myself, but it's not enough


Huh
Huh, huh
Hey
Hey 

Mustard
Niggas actin' bad, but somebody gotta do it
Got my foot up on the gas, but somebody gotta do it
Huh, turn his TV off, turn his TV off
Huh, turn his TV off, turn his TV off
Huh, turn his TV off, turn his TV off
Huh, turn his TV off, turn his TV off

Ain't no other king in this rap thing, they siblings
Nothing but my children, one shot, they disappearin'
I'm in the city where the flag be gettin' thrown like it was pass interference
Padlock around the building
Crash, pullin' up in unmarked truck just to play freeze tag
With a bone to pick like it was sea bass
So when I made it out, I made about 50K from a show
Tryna show niggas the ropes before they hung from a rope
I'm prophetic, they only talk about it how I get it
Only good for saving face, seen the cosmetics
How many heads I gotta take to level my aesthetics?
Hurry up and get your muscle up, we out the plyometric
Nigga ran up out of luck soon as I upped the highest metric
The city just made it sweet, you could die, I bet it
They mouth get full of deceit, let these cowards tell it
Walk in New Orleans with the etiquette of LA, yellin'

Mustard 
Niggas actin' bad, but somebody gotta do it
Got my foot up on the gas, but somebody gotta do it
Huh, turn his TV off, turn his TV off
Huh, turn his TV off, turn his TV off
Huh, turn his TV off, turn his TV off
Huh, turn his TV off, turn his TV off

Shit gets crazy, scary, spooky, hilarious
Crazy, scary, spooky, hilarious
Shit gets crazy, scary, spooky, hilarious
Crazy, scary, spooky, hilarious
Shit gets crazy, scary, spooky, hilarious
Crazy, scary, spooky, hilarious
Shit gets crazy, scary, spooky, hilarious
Crazy, scary, spooky, hilarious"
